strain,phage,interaction
NILS02,55989_P2,1
ECOR26,55989_P2,0
ECOR27,55989_P2,1
ECOR28,55989_P2,1
ECOR45,55989_P2,1
55989,55989_P2,1
IAI02,55989_P2,1
NILS33,55989_P2,1
IAI21,55989_P2,1
ECOR69,55989_P2,0
ECOR58,55989_P2,1
ECOR72,55989_P2,1
H10030071CJ,55989_P2,0
NILS47,55989_P2,1
H10050012LM,55989_P2,1
ECOR70,55989_P2,1
H10070037HD,55989_P2,1
H10030079GR,55989_P2,1
H10010131CA,55989_P2,0
H10030120PR,55989_P2,0
H10030088BJ,55989_P2,1
ECOR71,55989_P2,1
H10020060CT,55989_P2,0
NILS15,55989_P2,0
IAI43,55989_P2,1
H10060022LR,55989_P2,1
H10030116VR,55989_P2,1
H10010020MO,55989_P2,1
H10030090VJ,55989_P2,1
H10010013LJ,55989_P2,0
H10030105CR,55989_P2,0
H10030115LR,55989_P2,0
PDP110,55989_P2,0
IAI18,55989_P2,0
H10070015DG,55989_P2,0
NILS48,55989_P2,0
IAI41,55989_P2,1
H10040021WI,55989_P2,0
H10020007MM,55989_P2,0
NILS34,55989_P2,1
NILS40,55989_P2,0
H10020011MG,55989_P2,0
H10010003SJ,55989_P2,1
IAI42,55989_P2,0
H10010154TK,55989_P2,1
PDP351,55989_P2,1
H10010121QJ,55989_P2,1
IAI08,55989_P2,1
H10060003SL,55989_P2,0
IAI40,55989_P2,0
IAI37,55989_P2,1
ECOR11,55989_P2,1
NILS09,55989_P2,1
NILS30,55989_P2,0
NILS32,55989_P2,1
IAI10,55989_P2,1
IAI31,55989_P2,0
IAI04,55989_P2,1
AN24,55989_P2,0
NILS06,55989_P2,0
NILS22,55989_P2,0
NAN33,55989_P2,0
IAI34,55989_P2,1
NIC06,55989_P2,0
NILS16,55989_P2,1
IAI17,55989_P2,1
IAI15,55989_P2,1
ECOR05,55989_P2,1
IAI11,55989_P2,1
NILS35,55989_P2,1
ECOR10,55989_P2,0
ECOR43A,55989_P2,0
ECOR12,55989_P2,0
IAI14,55989_P2,0
IAI19,55989_P2,0
IAI20,55989_P2,1
ECOR25,55989_P2,0
IAI26,55989_P2,1
ECOR01,55989_P2,1
IAI44,55989_P2,0
ECOR08,55989_P2,0
NILS13,55989_P2,0
IAI07,55989_P2,0
NILS10,55989_P2,0
BE,55989_P2,1
NILS07,55989_P2,1
ECOR09,55989_P2,1
NILS14,55989_P2,0
ECOR13,55989_P2,1
ECOR03,55989_P2,1
NILS11,55989_P2,1
IAI06,55989_P2,1
ECOR02,55989_P2,1
IAI13,55989_P2,1
IAI09,55989_P2,1
ECOR14,55989_P2,0
IAI25,55989_P2,1
IAI22,55989_P2,1
IAI28,55989_P2,1
NILS08,55989_P2,0
ECOR07,55989_P2,1
IAI29,55989_P2,1
IAI12,55989_P2,0
ECOR21,55989_P2,0
ECOR20,55989_P2,0
ECOR18,55989_P2,0
ECOR19,55989_P2,0
NILS17,55989_P2,0
NILS12,55989_P2,1
ECOR06,55989_P2,0
ECOR23,55989_P2,0
NILS41,55989_P2,0
BL21,55989_P2,1
ECOR17,55989_P2,0
NILS03,55989_P2,0
ECOR22,55989_P2,1
ECOR16,55989_P2,1
NILS04,55989_P2,0
ECOR15,55989_P2,0
NILS43,55989_P2,1
ECOR04,55989_P2,1
IAI16,55989_P2,1
IAI23,55989_P2,1
NILS37,55989_P2,0
IAI03,55989_P2,1
ECOR24,55989_P2,1
ROAR274,55989_P2,0
ECOR42,55989_P2,1
IAI50,55989_P2,1
ROAR036,55989_P2,0
EC6230,55989_P2,0
025010,55989_P2,1
